RAID Card Information:
Component Name       : PCIe Card 6 (9560-16i)
Product Name         : PCIe Card 6 (9560-16i)
Board Serial Number  : N/A
PHY error statistics :
PHY#,     Timestamp,               InvalidDwordCount,       LossDwordSynchCount,     PhyResetProblemCount,    RunningDisparityErrorCount
0,        2026-04-17 09:08:55,     0,                       0,                       0,                       0,
1,        2026-04-17 09:08:55,     0,                       0,                       0,                       0,
2,        2026-04-17 09:08:55,     0,                       0,                       0,                       0,
3,        2026-04-17 09:08:55,     0,                       0,                       0,                       0,
4,        2026-04-17 09:08:55,     0,                       0,                       0,                       0,
5,        2026-04-17 09:08:55,     0,                       0,                       0,                       0,
6,        2026-04-17 09:08:55,     0,                       0,                       0,                       0,
7,        2026-04-17 09:08:55,     0,                       0,                       0,                       0,
8,        2026-04-17 09:08:55,     0,                       0,                       0,                       0,
9,        2026-04-17 09:08:55,     0,                       0,                       0,                       0,
10,       2026-04-17 09:08:55,     0,                       0,                       0,                       0,
11,       2026-04-17 09:08:55,     0,                       0,                       0,                       0,
12,       2026-04-17 09:08:55,     0,                       0,                       0,                       0,
13,       2026-04-17 09:08:55,     0,                       0,                       0,                       0,
14,       2026-04-17 09:08:55,     0,                       0,                       0,                       0,
15,       2026-04-17 09:08:55,     0,                       0,                       0,                       0,
