RAID Card Information:
Component Name       : PCIe Card 21 (SP686C-M-16i 4G)
Product Name         : PCIe Card 21 (SP686C-M-16i 4G)
Board Serial Number  : N/A
PHY error statistics :
PHY#,     Timestamp,               InvalidDwordCount,       LossDwordSynchCount,     PhyResetProblemCount,    RunningDisparityErrorCount
0,        2026-05-06 05:24:31,     0,                       0,                       0,                       0,
1,        2026-05-06 05:24:31,     0,                       0,                       0,                       0,
2,        2026-05-06 05:24:31,     0,                       0,                       0,                       0,
3,        2026-05-06 05:24:31,     0,                       0,                       0,                       0,
4,        2026-05-06 05:24:31,     0,                       0,                       0,                       0,
5,        2026-05-06 05:24:31,     0,                       0,                       0,                       0,
6,        2026-05-06 05:24:31,     0,                       0,                       0,                       0,
7,        2026-05-06 05:24:31,     0,                       0,                       0,                       0,
8,        2026-05-06 05:24:31,     0,                       0,                       0,                       0,
9,        2026-05-06 05:24:31,     0,                       0,                       0,                       0,
10,       2026-05-06 05:24:31,     0,                       0,                       0,                       0,
11,       2026-05-06 05:24:31,     0,                       0,                       0,                       0,
12,       2026-05-06 05:24:31,     0,                       0,                       0,                       0,
13,       2026-05-06 05:24:31,     0,                       0,                       0,                       0,
14,       2026-05-06 05:24:31,     0,                       0,                       0,                       0,
15,       2026-05-06 05:24:31,     0,                       0,                       0,                       0,
