Timestamp,                              EstimatedRemainingLifespan,   WriteAmplificationFactor      
2026-03-29 08:59:23,                    1796,                         --                            
2026-03-30 09:10:03,                    1796,                         --                            
2026-04-01 03:58:07,                    1796,                         --                            
2026-04-02 02:30:48,                    1796,                         --                            
2026-04-03 02:41:20,                    1796,                         --                            
2026-04-04 02:41:36,                    1796,                         --                            
2026-04-05 02:41:55,                    1796,                         --                            
2026-04-06 02:42:20,                    1796,                         --                            
2026-04-07 03:03:23,                    1796,                         --                            
2026-04-08 05:28:11,                    1796,                         67903                         
2026-04-08 06:01:51,                    1796,                         --                            
2026-04-08 07:13:38,                    1796,                         --                            
2026-04-08 08:50:51,                    1796,                         --                            
2026-04-08 10:17:07,                    1796,                         --                            
2026-04-09 10:28:03,                    1796,                         --                            
2026-04-10 10:48:05,                    1796,                         --                            
2026-04-11 10:48:33,                    1796,                         --                            
2026-04-12 10:48:53,                    1796,                         --                            
2026-04-13 10:51:20,                    1796,                         --                            
2026-04-14 10:51:38,                    1796,                         --                            
2026-04-15 08:22:06,                    1796,                         --                            
2026-04-15 08:49:44,                    1796,                         --                            
2026-04-15 09:27:08,                    1796,                         --                            
2026-04-16 06:30:12,                    1796,                         --                            
2026-04-17 06:42:36,                    1796,                         --                            
2026-04-17 07:09:15,                    1796,                         --                            
2026-04-17 07:54:35,                    1796,                         --                            
2026-04-18 08:15:40,                    1796,                         --                            
2026-04-19 08:16:08,                    1796,                         --                            
2026-04-20 03:07:45,                    1796,                         --                            
